id;sigle_entreprise;nom_entreprise;numero_rccm;numero_ifu;ville;localisation;telephone_1;telephone_2
1;Iceland Krona matrix Sao Tome and Principe;../fake-data/blob/hipster.txt;Avon;Wooden;Consultant;payment Tuna;Generic monitoring Shirt;Soft B2C Somoni
2;Chicken real-time;../fake-data/blob/hipster.txt;Plastic;Networked encompassing;Baby innovate Shirt;synthesize Principal;Personal Loan Account Credit Card Account;Planner Small Wooden Keyboard Operations
3;Dalasi;../fake-data/blob/hipster.txt;SDD navigate AGP;Generic 1080p Auto Loan Account;payment Music Parks;frictionless Handcrafted Concrete Tuna;Tugrik Fantastic solid state;Designer protocol 3rd generation
4;Savings Account;../fake-data/blob/hipster.txt;Intelligent back-end;Manager New Israeli Sheqel Heights;Fantastic Soft Gloves cutting-edge;fuchsia;invoice Sausages;calculating
5;USB Steel;../fake-data/blob/hipster.txt;Alabama Maine;Bedfordshire standardization;neural knowledge user;Electronics niches Licensed Plastic Soap;deposit Business-focused;Borders Movies
6;programming;../fake-data/blob/hipster.txt;deposit Senior;withdrawal;Investment Account generate;optimize View;Baby Response;Down-sized synthesize Web
7;invoice indexing;../fake-data/blob/hipster.txt;Money Market Account;matrices backing up;dot-com Cambridgeshire;Grocery;Re-contextualized Music;Lead Practical Rustic
8;user-centric sensor card;../fake-data/blob/hipster.txt;Cambridgeshire Courts markets;Barbados Virginia bandwidth;Personal Loan Account;withdrawal;grow;Avon Unbranded
9;withdrawal Home Loan Account;../fake-data/blob/hipster.txt;Intelligent Steel Shirt Sausages;Data challenge Home Loan Account;quantifying;District;user-centric Wyoming;Borders Shoes Forint
10;Mouse;../fake-data/blob/hipster.txt;SDD groupware Tools;Afghani function Ergonomic;interface Village;olive;Ergonomic Marketing;Direct Orchestrator
